company,email,site_url,audit_notes,pay_signals,skin_pair,demo_url_a,demo_url_b,status,reply_class,checkout_status,intake_status,delivered_url,source,do_not_contact,quoted_price,vertical,notes,approval_seq,owner_approved_at,sent_at,bounce_at,bounce_type,reply_at,reply_type,meeting_at,quote_at,order_at,order_amount_yen,template_version,followup_sent_at
株式会社本田谷田部,info01@honda-yatabe.com,"https://www.honda-yatabe.com/company.html",2026-08-24 再診: 公式トップ最終HTTPS・viewportあり・tel:2・2025更新。G1見送り=サイト新し・導線整備済,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 再診除外: 公式トップ https://www.honda-yatabe.com/ はHTTPS+viewport+tel整備済。company.htmlの粗はトップでは無効→除外,24,2026-08-23,,,,,,,,,,,
株式会社高嶋材木店,info@takashima-zaimoku.jp,"http://www.takashima-zaimoku.jp/",2026-09-04 G1: C0=公式はtakashima-zaimoku.jpのみ（www。検索・会社概要・合法木材NAVI・法人DBも同URL。別の新公式なし）。C1=最終http（https証明書CN=*.sakura.ne.jpでホスト名不一致。insecureでも403。httpは200）。C2=tel:0（番号テキストのみ 0297-72-0055。mailtoはトップにinfo@takashima-zaimoku.jp）。C3=viewportなし（mystyle.cssにメディアクエリなし・Homepage Builder 15）。C4=Last-Modified 2014-05-30 / 年号なし（更新停止感は使ってもよいが粗は3点で足りる）。粗:(1)https未整備（証明書ホスト名不一致・https 403）(2)viewportなし(3)tel:なし（番号テキストのみ）,法人・創業90年・建材販売,"e-taisei,f-sanyu","https://calcite-ai.github.io/calcite-demos/buyout-prospects/takashima-zaimoku/e-taisei/","https://calcite-ai.github.io/calcite-demos/buyout-prospects/takashima-zaimoku/f-sanyu/",sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-04 / SMTP <b3296787-2d48-cb41-d605-639c4dc655d6@calcite-mail.jp> / GitHub Actions daily-send,25,2026-08-23,2026-09-04,,,,,,,,,v1_initial_66k,excluded:業種不一致(建材販売店・工務店ではない)
テクノウッドワークス株式会社,sales@technowoodworks.com,"http://www.technowoodworks.com/inquiry/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)更新停止感(HTML内2013止). C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,false,66000,koumuten,オーナー承認キュー → 送信スキップ（大手・B2Bプレカット・G3不適合）。2026-09-05 paused,26,2026-08-23,,,,,,,,,,,
有限会社上野建築事務所,info@ueno-kenchiku.co.jp,"http://www.ueno-kenchiku.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/buyout-prospects/ueno-kenchiku/e-taisei/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-05 / SMTP <7791b6e2-8d9f-0b1a-b92b-518e7ac17a03@calcite-mail.jp> / GitHub Actions daily-send,27,2026-08-23,2026-09-05,,,,,,,,,v1_initial_66k,
有限会社出浦商事,info@ideura.com,"http://ideura.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)更新停止感(HTML内2005止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/buyout-prospects/ideura/e-taisei/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-05 / SMTP <d7a72cc3-52ce-270a-1bdf-58a2d8b3b28c@calcite-mail.jp> / GitHub Actions daily-send,28,2026-08-23,2026-09-05,,,,,,,,,v1_initial_66k,
株式会社匠技建,info@takumigiken.com,"http://www.takumigiken.com/contact",2026-08-24 オーナー指示除外。再診ではHTTPSも有効だが指示どおり送信禁止,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-08-24 オーナー指示除外（匠技建）,29,2026-08-23,,,,,,,,,,,
株式会社守屋工務店,info@moriyakoumuten.com,"https://www.moriyakoumuten.com/",2026-08-24 再診残置: HTTPS。粗残:(1)viewportなし(2)tel:なし,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/buyout-prospects/moriya-koumuten/e-taisei/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-06 / SMTP <841905d1-f6af-0192-8b9c-3c4cde0397d4@calcite-mail.jp> / GitHub Actions daily-send,30,2026-08-23,2026-09-06,,,,,,,,,v1_initial_66k,
株式会社三ツワ金砂郷工場,keiri@mitsuwa-net.jp,"http://www.mitsuwa-net.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-09-06 業種不一致でpaused: 実態は株式会社三ツワ（木造軸組プレカット加工・販売のB2B工場、本社=静岡県長泉町、代表=中原庸三、設立=昭和17年4月）。施主向けの新築・改修はしておらず、E案デモの事業見出しと矛盾する。社名も誤り（金砂郷は茨城の事業所名で法人名ではない）。宛先 keiri@ は経理窓口。vertical=koumuten は誤判定,31,2026-08-23,,,,,,,,,,,
ＫＡＺ空間企画,mail@kaz-kuukan.com,"http://www.kaz-kuukan.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/kaz-kuukan/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-07 / SMTP <3b1ba0f7-2eaa-4650-e2e4-5ecb17cf9af5@calcite-mail.jp> / GitHub Actions daily-send,32,2026-08-23,2026-09-07,,,,,,,,,v1_initial_66k,
有限会社小畑工務店,obata-k@topaz.bforth.com,"http://www.obata-buildersoffice.com/company.html",2026-08-23 owner承認。scan:粗:(1)SSL未整備(2)viewportなし(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/obata-koumuten/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-08 / SMTP <d4c1b37d-dced-b946-b2c9-ea1bf00f04e2@calcite-mail.jp> / GitHub Actions daily-send,33,2026-08-23,2026-09-08,,,,,,,,,v1_initial_66k,
株式会社中祥建設,waraoya@nifty.com,"https://nakasho-kk.jp/company",2026-08-24 再診残置: HTTPS・viewportあり。粗残:(1)tel:なし(2)更新停止感(HTML内2015止),法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/nakasho-kensetsu/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-09 / SMTP <c5a59e95-8974-87bc-1628-bdcd02077182@calcite-mail.jp> / GitHub Actions daily-send,34,2026-08-23,2026-09-09,,,,,,,,,v1_initial_66k,
加茂建設株式会社,kamo@orihime.ne.jp,"http://www.orihime.ne.jp/~kamo/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/buyout-prospects/kamo-kensetsu/e-taisei/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-06 / SMTP <48b01cd3-c1b5-3d56-bcb9-706c386f38aa@calcite-mail.jp> / GitHub Actions daily-send,29,2026-08-27,2026-09-06,,,,,,,,,v1_initial_66k,
株式会社星野工務店,info@hoshinokoumuten.co.jp,"http://www.hoshinokoumuten.co.jp/company.html",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/hoshino-koumuten/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-07 / SMTP <36948248-2c46-c54b-9341-0f9794eb181a@calcite-mail.jp> / GitHub Actions daily-send,32,2026-08-27,2026-09-07,,,,,,,,,v1_initial_66k,
宮川建設株式会社,miyagawa-co@wind.ocn.ne.jp,"https://miyagawa-home.main.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2015止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/miyagawa-kensetsu/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-08 / SMTP <05092695-dc29-1b0d-1f32-0d961a5722e2@calcite-mail.jp> / GitHub Actions daily-send,33,2026-08-27,2026-09-08,,,,,,,,,v1_initial_66k,
八神建築株式会社,info@yagami-kk.jp,"http://yagami-kk.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/yagami-kensetsu/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-09 / SMTP <98bedd40-2c2d-9d65-f2a8-bb406c6e4f20@calcite-mail.jp> / GitHub Actions daily-send,34,2026-08-27,2026-09-09,,,,,,,,,v1_initial_66k,
株式会社高柳組,info@takayanagi.co.jp,"http://www.takayanagi.co.jp/company/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/takayanagi-gumi/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-10 / SMTP <d3a3488f-46cd-cacf-107e-8f03f78af545@calcite-mail.jp> / GitHub Actions daily-send,35,2026-08-27,2026-09-10,,,,,,,,,v1_initial_66k,
松本建設株式会社,kenji-m@car.ocn.ne.jp,"http://www.matsuken2581.sakura.ne.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2015止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/matsumoto-kensetsu/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-10 / SMTP <2f1b18d1-7f76-8579-bfd1-1d5821b17e59@calcite-mail.jp> / GitHub Actions daily-send,36,2026-08-27,2026-09-10,,,,,,,,,v1_initial_66k,
株式会社笠原工務店,info@kasahara-koumuten.co.jp,"https://www.kasahara-koumuten.co.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/kasahara-koumuten/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,/ owner OK 2026-08-27 pending batch / 初回送信済 2026-09-10 / SMTP <de9fa2e4-74b1-50d4-aa58-4d3f1c80f1e9@calcite-mail.jp> / GitHub Actions daily-send（並行run競合で枠超過送信・CSV反映漏れを事後修正）,37,2026-08-27,2026-09-10,,,,,,,,,v1_initial_66k,
株式会社城南組,info@jonangumi.co.jp,"http://www.jonangumi.co.jp/company/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし;(3)更新停止感(HTML内2009止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/jonan-gumi/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,/ owner OK 2026-08-27 pending batch / 初回送信済 2026-09-10 / SMTP <4060e0cf-77ef-7945-be74-ee2b91c53449@calcite-mail.jp> / GitHub Actions daily-send（並行run競合で枠超過送信・CSV反映漏れを事後修正）,38,2026-08-27,2026-09-10,,,,,,,,,v1_initial_66k,
株式会社ハヤタウッドユーホーム,maruka.woodsystems@gmail.com,"http://maruka-woodsystems.com/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/hayata-wood/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-11 / SMTP <3222d5e3-57ba-8099-1f44-040cf4914157@calcite-mail.jp> / GitHub Actions daily-send,39,2026-08-27,2026-09-11,,,,,,,,,v1_initial_66k,
株式会社国松工務店,kunimatsu@k-kunimatsu.jp,"http://www.k-kunimatsu.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,/ owner OK 2026-08-27 pending batch / 2026-09-07 旧サイト診断のためpaused: 登録URL http://www.k-kunimatsu.jp/ は現行公式ではない。現行は https://www.k-kunimatsu.com/。URLを差し替えれば再開可,40,2026-08-27,,,,,,,,,,,
株式会社サントピアホーム,info@www.suntopiahome.co.jp,"http://www.suntopiahome.co.jp/contact",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/suntopia-home/",,sent,,,unpaid,not_sent,owner_review,,66000,koumuten,初回送信済 2026-09-11 / SMTP <6351b419-78d8-2948-b407-e4cb79f27dc1@calcite-mail.jp> / GitHub Actions daily-send,41,2026-08-27,2026-09-11,,,,,,,,,v1_initial_66k,
株式会社共豊エポック,info@kyoho-epoch.co.jp,"http://www.kyoho-epoch.co.jp/company/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)更新停止感(HTML内2017止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/kyoho-epoch/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 render-outreach-email.mjsを修正し「許可」を条件分岐化（オーナー承認）→再レンダリングで解消を確認。①②SSL未整備・更新停止感は独立レビューPASS(2026-09-11)済み,43,2026-08-27,,,,,,,,,,,
中田ホームズ有限会社,info@nakata-homes.com,"http://www.nakata-homes.com/company.html",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/nakata-homes/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,/ owner OK 2026-08-27 pending batch,44,2026-08-27,,,,,,,,,,,
(有)内山工務店,miyazaki@uchiyama-k.co.jp,"https://www.v-hf.com/k/uchiyama389/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 保留: 登録URLはハウスメーカー系ポータル(v-hf.com)の1ページで社名以外の情報なし。メールドメイン(uchiyama-k.co.jp)もPleskデフォルトページ(未設定ドメイン)。デモ制作の材料が取れない,47,2026-08-27,,,,,,,,,,,
株式会社山﨑建設,yamasaki03ys@wind.ocn.ne.jp,"http://yamasaki-1972.co.jp/profile/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/yamasaki-kensetsu/",,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 メール本文レビューで発覚: 送信先yamasaki03ys@wind.ocn.ne.jpは実HP上「関連会社:山﨑商事有限会社(不動産業)」の連絡先で山﨑建設本体のものではない。本体は自社メール非公開(TEL/FAXのみ)。要オーナー判断: このまま送るか/見送るか。デモ本文は既に修正済み(誤帰属のメール表示を削除済み)だがCSVの送信先自体は未変更だった,48,2026-08-27,,,,,,,,,,,
有限会社古澤リビング,info@furusawa-living.co.jp,"http://www.furusawa-living.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-09 保留: 登録URL http://www.furusawa-living.co.jp/ はHTTP200を返すがHTML内に<body>が無く実質空。板橋建設と同型（HP実体なし・送る前提が崩れる）。デモ制作の材料が取れない,46,2026-08-31,,,,,,,,,,,
アレス有限会社,info@kenkoutatemono.co.jp,"https://www.kenkoutatemono.co.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2014止). C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/ares-kenkoutatemono/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 独立レビューPASS(2026-09-09) / 外壁塗装専門店のためbusiness-short=外壁塗装・防水・雨漏り対策 / 地域：さいたま市の外壁塗装店,47,2026-08-31,,,,,,,,,,,
有限会社藤川建設,fujikawa-kensetu@jcom.home.ne.jp,"https://fujikawakensetu.com/gaiyou.html",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし;(3)更新停止感(HTML内2009止). C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-10 独立レビューで判明: 登録URL(gaiyou.html)は2014年止まりの孤立ページ(現行サイトからリンク無し)。現行は https://fujikawakensetu.com/company/ で(1)viewportあり(2)許可番号も般03-第049132号に更新済み(デモで使った般18-49132は旧). 「スマホ非対応」の訴求前提が現行サイトには当てはまらない。2026-09-10 オーナー判断: 見送り。「スマホ非対応」の柱が使えず残る指摘(tel:不在/更新停止)だけでは訴求が弱く、先方に見透かされるリスクの方が大きいため。paused継続(永久除外ではない。承認済み67社の在庫で十分なので今は無理に送らない),52,2026-08-31,,,,,,,,,,,
株式会社 トレカーサ工事,post@trecasa.co.jp,"https://www.trecasa.co.jp/company",2026-09-11 再監査(モバイルUA、実機375pxでコンソールエラー確認済み)。粗:(1)モバイル版の地図が読み込めない（Mixed Content でブロック）;(2)会社概要ページの電話番号はタップ発信不可. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/trecasa-koji/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 audit_notes作り直し済み(旧「viewportなし」「tel:なし」は誤検知と判明、削除)。独立レビューPASS(2026-09-11、実機モバイルレンダリング+コンソールエラーで動的検証済み)。半角括弧を含む記述はrender-outreach-email.mjsのparseRoughItemsで途中切れするため全角括弧のみ使用,58,2026-08-31,,,,,,,,,,,
あさひワークス株式会社,info@asahiworks.co.jp,"https://asahiworks.co.jp/company/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-10 制作前確認でasahiworks.co.jpドメインが完全に乗っ取り済みと判明(インドネシア語の闘鶏ギャンブルサイト+偽通販ページに差し替わっている。トップページtitle:「SV388: Link Situs Sabung Ayam...」)。2026-08-23スキャン時から失効・乗っ取られた可能性。別ドメイン asahiworks.jp は「旭ワークス株式会社」(東京都世田谷区・人材派遣業・かつら整形)で同名無関係の別法人(マキノ型)。正しい代替公式サイトは見つからず。当面paused,54,2026-08-31,,,,,,,,,,,
株式会社エコハウス,info@eco-house.co.jp,"http://www.eco-house.co.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/eco-house-aobadai/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,独立レビューPASS(2026-09-10) / TEL・MAILは実HPの画像alt属性から正確に読み取り確認済み / ボリューム型候補(社員20名・実績豊富・直近更新あり),55,2026-08-31,,,,,,,,,,,
株式会社ジュンプランニング,itoch@lemon.plala.or.jp,"https://www.jun-planning.biz/about/",2026-09-11 再監査(モバイルUA)。粗:(1)tel:なし（TEL/FAXは全ページともプレーンテキストのみ。モバイルUAでもtel:リンク0件を確認）. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/jun-planning/",,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 audit_notes作り直し済み(旧「viewportなし」は誤検知と判明、削除。tel:なしのみ残す)。設立年矛盾(2008/2010)は引き続き記載省略。独立レビューPASS(2026-09-11、実ブラウザJS実行後DOM+UA差分で動的検証済み) / 独立レビューPASS後に再queuedしたが、V13 G1ゲート(粗が2点以上必須)でFAILと判明、正しく訂正した課題は1点(tel:なし)のみで基準未達のためpausedに戻す,56,2026-08-31,,,,,,,,,,,
株式会社中央建工,info@chuokenko.jp,"http://www.chuokenko.jp/profile",2026-09-11 再監査(モバイルUA。実測: openssl s_client でhttps証明書のCNが別ドメインaisai-home.net宛と確認)。粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/chuo-kenko/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 audit_notes作り直し済み(旧「viewportなし」は誤検知と判明、削除。SSL未整備・tel:なしは元から確認済みの項目のため維持)。独立レビューPASS(2026-09-11、実ブラウザ375px描画+UA差分実測+opensslで動的検証済み),57,2026-08-31,,,,,,,,,,,
株式会社佐久間工務店,soumu@sakuma.co.jp,"https://sakumakoumuten.jp/",2026-09-11 独立レビュー2回で再々監査。実ブラウザ実測: 会社概要(/company/)はviewport=1300(390pxで×0.30、実効約3.9px=判読不能)。粗:(1)会社概要ページにスマートフォン用の画面幅設定がなく、PC用の幅1300pxのままのため文字が非常に小さく表示される. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/sakuma-koumuten/",,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 独立レビュー2回PASS(2026-09-11)。トップページの②は弱く①の信憑性を薄めるとの指摘を受け削除、①1本に集約。tel:なし/更新停止感は旧site_url由来の誤検知だった件、G1除外の誤判定(viewportタグ存在のみで判定していたバグ)も別途修正済み / ①1本に絞った結果V13 G1ゲート(粗が2点以上必須)でFAILと判明、pausedに戻す。事実は正しいが訴求として送信基準を満たさない,58,2026-08-31,,,,,,,,,,,
株式会社戸諸工務店,tomoro.net@abeam.ocn.ne.jp,"https://www.tomoro.co.jp/",2026-09-11 再監査(モバイルUA)。粗:(1)tel:なし（TEL/FAXは全ページともプレーンテキストのみ。PC版・UA振り分けSP版の両方でtel:リンク0件を確認）. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/tomoro-koumuten/",,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 audit_notes作り直し済み(旧「viewportなし」は誤検知と判明、削除。tel:なしのみ残す)。独立レビューPASS(2026-09-11、実ブラウザ375px描画+UA振り分け実測で動的検証済み) / 独立レビューPASS後に再queuedしたが、V13 G1ゲート(粗が2点以上必須)でFAILと判明、正しく訂正した課題は1点(tel:なし)のみで基準未達のためpausedに戻す,59,2026-08-31,,,,,,,,,,,
株式会社環建築工房,tamaoki@mtj.biglobe.ne.jp,"http://tama-kenchiku.jp/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)viewportなし;(3)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/tama-kenchiku/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,独立レビューPASS(2026-09-10、代表/社員どちらの資格か帰属が実HP上あいまいなため代表個人への帰属は避けた)/ 強み：耐震診断から補強工事まで一括で対応されているのですね|,60,2026-08-31,,,,,,,,,,,
有限会社新井建設,yoshiwa@athome-arai.jp,"https://www.athome-arai.jp/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-09-07 旧サイト診断のためpaused: 登録URL https://www.athome-arai.jp/ は現行公式ではない。現行は https://www.athome-arai.com/。URLを差し替えれば再開可,61,2026-08-31,,,,,,,,,,,
株式会社須藤建設,finfo@suto-k.co.jp,"http://www.suto-k.co.jp/",2026-09-04 G0不合格: 公開メールは info@suto-k.co.jp のみ。finfo@ はSJIS誤抽出（cp932では MAIL:info@suto-k.co.jp。UTF-8誤読で Finfo@ に見える）。同一社 seq=13 は 2026-09-02 初回送信済 → G4衝突。再送禁止。,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,オーナー承認キュー / 2026-09-04 G0不合格（finfo@はSJIS誤抽出）+ G4（info@へ 2026-09-02 送信済）。paused,12,2026-09-03,,,,,,,,,,,
(有)手作り工房いぐち,support@netrun.ne.jp,"https://tedukuri-kobo.com/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,,,,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03 / 2026-09-07 旧サイト診断のためpaused: 登録URL https://tedukuri-kobo.com/ は現行公式ではない。現行は https://www.daiku-iguchi.jp/。URLを差し替えれば再開可,51,2026-09-03,,,,,,,,,,,
株式会社新屋敷工務店,info@shinyashiki.co.jp,"https://www.shinyashiki.co.jp/company/",2026-08-23 owner承認。scan:粗:(1)viewportなし;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/shinyashiki-koumuten/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03 / 独立レビューPASS(2026-09-10)/許認可3件併記・ラベル修正済み/社名を㈱から正式表記に修正(ゲートのC0照合不一致対策)/ボリューム型候補(新着28件・受賞5件・自社不動産13棟),62,2026-09-03,,,,,,,,,,,
株式会社タウンズホーム,natural-home@towns-home.co.jp,"https://ssl.towns-home.co.jp/company.html",2026-08-23 owner承認。scan:粗:(1)tel:なし;(2)フッターに制作会社が残した別会社の社名・住所がそのまま公開されている. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/towns-home/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03 / 独立レビューPASS(2026-09-10) / 注:旧audit_notesの「更新停止感2019止」は実は別会社ダミーの著作権表示が根拠だったため訂正,63,2026-09-03,,,,,,,,,,,
押元建設,info@osimoto.com,"http://www.osimoto.com/company/",2026-08-23 owner承認。scan:粗:(1)SSL未整備;(2)tel:なし. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/oshimoto-kensetsu/",,queued,,,unpaid,not_sent,owner_review,,66000,koumuten,bulk_approve 2026-09-03 / 独立レビューPASS(2026-09-11) / 強み：地域柄、別荘の修繕も多くご依頼を受けていらっしゃるのですね|,64,2026-09-03,,,,,,,,,,,
石井工業株式会社,ishiikogyo@nifty.com,"https://ishiikogyo.jp/about/",2026-09-11 再監査(JS実行確認)。粗:(1)tel:なし（電話番号はテキストのみ。format-detection=telephone=noでiOS自動リンクも無効化。会社概要ページの番号リンクは問い合わせフォームへ遷移し発信不可）. C0/C3は送信前再確認,法人・中小,e-taisei,"https://calcite-ai.github.io/calcite-demos/works/ishii-kogyo/",,paused,,,unpaid,not_sent,owner_review,,66000,koumuten,2026-09-11 audit_notes作り直し済み(旧「viewportなし」はJS注入型のため誤検知と判明、削除。tel:なしのみ残す) / 強み：サンブスギの家づくり推奨店に認定されているのですね| / 独立レビューPASS(2026-09-11、JS実行後のDOMで動的検証済み。notesからの強み：脱落を検知・復元) / 独立レビューPASS後に再queuedしたが、V13 G1ゲート(粗が2点以上必須。SSL警告のみ1点可)でFAILと判明、正しく訂正した課題は1点(tel:なし)のみで基準未達のためpausedに戻す。事実は正しいが訴求として送信基準を満たさない,65,2026-09-03,,,,,,,,,,,
